time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
4.4,8.00377,12.0071,3.08898,1.08716,8.53188,11.6526,3.13757,1.11667,8.53612,11.6639,3.1281,1.11699,8.54974,11.6431,3.14304,1.11564,0.636015,0.048591,0.0295056,0.633387,0.0391148,0.0298289,0.656164,0.054057,0.0284803
4.5,8.1474,12.2805,3.03943,1.08978,8.54135,11.9978,3.08029,1.15164,8.54482,12.0094,3.06896,1.15203,8.56221,11.9869,3.09084,1.1504,0.484909,0.0408649,0.0618595,0.481102,0.0295305,0.0622517,0.508195,0.0514146,0.0606201
4.6,8.28803,12.55,3.04439,1.07395,8.62035,12.3118,3.0843,1.16879,8.6236,12.324,3.07488,1.16918,8.642,12.2991,3.08826,1.1676,0.408842,0.0399014,0.0948468,0.404556,0.0304873,0.095237,0.43385,0.043862,0.0936505
4.7,8.43314,12.8176,3.1024,1.06735,8.72203,12.6341,3.15242,1.17716,8.72373,12.6482,3.14678,1.17761,8.74848,12.6154,3.14347,1.17583,0.342235,0.0500159,0.109806,0.336375,0.0443826,0.110256,0.374608,0.0410694,0.108485
4.8,8.58282,13.0894,3.09604,1.05823,8.9286,12.8741,3.17346,1.15856,8.93025,12.8884,3.16774,1.15898,8.9556,12.854,3.1632,1.15733,0.407295,0.0774195,0.100323,0.40137,0.0716974,0.100752,0.440838,0.0671535,0.0990946
4.9,8.73465,13.3592,3.11888,1.0717,8.86761,13.2556,3.0997,1.20861,8.86559,13.2713,3.08759,1.20938,8.90419,13.2324,3.10744,1.20653,0.168521,0.0191809,0.136904,0.157691,0.0312941,0.137673,0.211727,0.0114421,0.134827
5,8.88393,13.633,3.05591,1.09393,9.00199,13.5511,3.15769,1.20304,8.99674,13.5694,3.14959,1.20395,9.04674,13.5205,3.15351,1.2007,0.143703,0.10178,0.109117,0.129494,0.0936772,0.110023,0.19789,0.097603,0.106773
5.1,9.0242,13.9045,3.10349,1.09382,9.1042,13.859,3.1827,1.21154,9.099,13.8772,3.17469,1.21239,9.14898,13.8283,3.17738,1.20942,0.0920444,0.0792101,0.11772,0.0796217,0.0712056,0.118566,0.146198,0.0738981,0.115596
5.2,9.16668,14.1802,3.19072,1.08541,9.27643,14.1681,3.31551,1.20253,9.27325,14.1863,3.31483,1.20308,9.31656,14.1362,3.28776,1.20124,0.110418,0.124791,0.117125,0.106743,0.124115,0.117676,0.156203,0.0970493,0.115827
5.3,9.31554,14.4624,3.03758,1.12299,9.46092,14.3834,3.16853,1.18071,9.44934,14.4053,3.15586,1.18199,9.52005,14.3439,3.17469,1.17759,0.165495,0.130946,0.0577186,0.145477,0.118271,0.0589983,0.236391,0.137108,0.054606
